from,to,flight,st,ed,ast,aed,delta,status,time_need,time,delay
CGO,CKG,ZH9730,1485006300,1485013800,1485006480,1485012540,120,正常,4500,6060,0
WNZ,CKG,SC4828,1485003300,1485013800,1485003780,1485012600,60,正常,6600,8820,0
KWE,CKG,G52612,1485010200,1485013800,1485010140,1485012780,180,正常,1980,2640,0
CSX,CKG,TV9906,1485009000,1485014700,1485009000,1485013440,660,正常,2460,4440,0
CAN,CKG,CA9516,1485006000,1485014100,1485007260,1485013500,60,正常,3120,6240,0
LLV,CKG,G52844,1485007800,1485014700,1485006720,1485013740,240,正常,4920,7020,0
KWE,CKG,G52606,1485010800,1485014700,1485011280,1485013800,60,正常,1980,2520,0
WNZ,CKG,CA4236,1485003600,1485013500,1485005100,1485013920,120,正常,6600,8820,420
XMN,CKG,MF8471,1485004200,1485013800,1485004680,1485014100,180,正常,6600,9420,300
KWE,CKG,G52658,1485011700,1485016200,1485011700,1485014220,120,正常,1980,2520,0
SYX,CKG,OQ2332,1485006300,1485015300,1485007020,1485014280,60,正常,5580,7260,0
CAN,CKG,OQ2326,1485006300,1485014100,1485008100,1485014460,180,正常,3120,6360,360
TAO,CKG,SC4716,1485001800,1485012900,1485004620,1485014580,120,正常,7260,9960,1680
JJN,CKG,MF8493,1484999700,1485010200,1485004680,1485014700,120,正常,7020,10020,4500
PVG,CKG,MU5433,1485003900,1485015300,1485005520,1485014880,180,正常,6840,9360,0
SHA,CKG,CA4542,1485003300,1485015000,1485005880,1485015000,120,正常,6840,9120,0
KOW,CKG,MF8419,1485004800,1485012300,1485008760,1485015120,120,正常,4920,6360,2820
TSN,CKG,PN6238,1485006600,1485017100,1485006600,1485015240,120,正常,7020,8640,0
PVG,CKG,OQ2310,1485004200,1485015300,1485005940,1485015360,120,正常,6840,9420,60
LXA,CKG,TV9813,1485001500,1485009900,1485007620,1485015540,180,正常,6240,7920,5640
CAN,CKG,HU7041,1485006300,1485014100,1485008760,1485015720,180,正常,3120,6960,1620
PEK,CKG,SC1156,1485005100,1485015900,1485006900,1485015840,120,正常,6780,8940,0
TNA,CKG,PN6266,1485007500,1485016500,1485008100,1485016140,300,正常,6060,8040,0
YIW,CKG,G52660,1485005100,1485015600,1485007200,1485016140,0,正常,6480,8940,540
