起飞机场,到达机场,航班号,计划起飞时间,计划到达时间,实际起飞时间,实际到达时间,状态,必要飞行时间,实际飞行时间,到达机场上空时间,实际与计划到达时间差,调度后与计划到达时间差,调度后降落时间
KWE,CKG,G52714,1485003300,1485007200,1485005280,1485007980,正常,1980,2700,1485007260,780,120,1485007320
DSN,CKG,G52838,1485001200,1485008700,1485001800,1485007800,正常,5520,6000,1485007320,900,320,1485009020
SWA,CKG,3U8922,1485002100,1485010800,1485001620,1485010200,正常,5700,8580,1485007320,600,2420,1485013220
URC,CKG,UQ2529,1484994600,1485007500,1484997720,1485009300,正常,9780,11580,1485007500,1800,60,1485007560
TYN,CKG,MU5528,1485002100,1485009900,1485002400,1485008400,正常,5160,6000,1485007560,1500,1280,1485011180
JNG,CKG,G52644,1485002400,1485012300,1485001500,1485009120,正常,6180,7620,1485007680,3180,3560,1485015860
PVG,CKG,CA4556,1485000000,1485011100,1485001020,1485010560,正常,6840,9540,1485007860,540,2180,1485013280
KMG,CKG,MU2986,1485000900,1485006900,1485005820,1485010080,正常,2220,4260,1485008040,3180,200,1485007100
XIY,CKG,SC8788,1485004200,1485009600,1485006240,1485010320,正常,2400,4080,1485008640,720,900,1485010500
SJW,CKG,PN6350,1485002400,1485011400,1485002700,1485009660,正常,6060,6960,1485008760,1740,1580,1485012980
FOC,CKG,CA4570,1485000900,1485011100,1485002940,1485011940,正常,5820,9000,1485008760,840,1280,1485012380
CZX,CKG,MU2970,1484996400,1485005700,1485002940,1485010860,正常,5880,7920,1485008820,5160,2180,1485007880
HGH,CKG,MF8477,1484999100,1485009300,1485002580,1485011820,正常,6300,9240,1485008880,2520,360,1485009660
SHA,CKG,MU5431,1484997300,1485008700,1485002100,1485011340,正常,6840,9240,1485008940,2640,300,1485009000
CGO,CKG,PN6380,1485003900,1485010800,1485004500,1485009960,正常,4500,5460,1485009000,840,740,1485011540
CSX,CKG,3U8952,1485006000,1485012000,1485006600,1485010800,正常,2460,4200,1485009060,1200,1880,1485013880
KMG,CKG,OQ2358,1485006900,1485012900,1485006960,1485011100,正常,2220,4140,1485009180,1800,2660,1485015560
GYU,CKG,G52668,1485006000,1485010500,1485006720,1485011460,正常,2580,4740,1485009300,960,140,1485010640
NNG,CKG,ZH9373,1485004500,1485010200,1485005700,1485010980,正常,3720,5280,1485009420,780,720,1485010920
CGO,CKG,ZH9470,1484997000,1485004200,1485005040,1485011220,正常,4500,6180,1485009540,7020,4400,1485008600
ZUH,CKG,CA4572,1485003300,1485011700,1485003900,1485012120,正常,5640,8220,1485009540,420,1100,1485012800
NKG,CKG,3U8840,1484996400,1485005100,1485004320,1485011580,正常,5340,7260,1485009660,6480,3620,1485008720
YNZ,CKG,SC8792,1484999100,1485008100,1485003540,1485012060,正常,6720,8520,1485010260,3960,1220,1485009320
WNZ,CKG,SC4828,1485003300,1485013800,1485003780,1485012600,正常,6600,8820,1485010380,1200,2360,1485016160
CAN,CKG,CA9516,1485006000,1485014100,1485007260,1485013500,正常,3120,6240,1485010380,600,2660,1485016760
HAK,CKG,HU7373,1485004500,1485012600,1485005580,1485012420,正常,5160,6840,1485010740,180,800,1485013400
CGO,CKG,ZH9730,1485006300,1485013800,1485006480,1485012540,正常,4500,6060,1485010980,1260,1760,1485015560
PEK,CKG,CA986,1485001800,1485012600,1485004380,1485012240,正常,6780,7860,1485011160,360,380,1485012980
CAN,CKG,OQ2326,1485006300,1485014100,1485008100,1485014460,正常,3120,6360,1485011220,360,1820,1485015920
XMN,CKG,MF8471,1485004200,1485013800,1485004680,1485014100,正常,6600,9420,1485011280,300,1460,1485015260
CSX,CKG,TV9906,1485009000,1485014700,1485009000,1485013440,正常,2460,4440,1485011460,1260,2180,1485016880
LLV,CKG,G52844,1485007800,1485014700,1485006720,1485013740,正常,4920,7020,1485011640,960,2000,1485016700
WNZ,CKG,CA4236,1485003600,1485013500,1485005100,1485013920,正常,6600,8820,1485011700,420,740,1485014240
JJN,CKG,MF8493,1484999700,1485010200,1485004680,1485014700,正常,7020,10020,1485011700,4500,560,1485010760
TAO,CKG,SC4716,1485001800,1485012900,1485004620,1485014580,正常,7260,9960,1485011880,1680,960,1485013860
CAN,CKG,HU7041,1485006300,1485014100,1485008760,1485015720,正常,3120,6960,1485011880,1620,1160,1485015260
KWE,CKG,G52612,1485010200,1485013800,1485010140,1485012780,正常,1980,2640,1485012120,1020,620,1485014420
PVG,CKG,MU5433,1485003900,1485015300,1485005520,1485014880,正常,6840,9360,1485012360,420,1880,1485017180
SYX,CKG,OQ2332,1485006300,1485015300,1485007020,1485014280,正常,5580,7260,1485012600,1020,1640,1485016940
SHA,CKG,CA4542,1485003300,1485015000,1485005880,1485015000,正常,6840,9120,1485012720,0,1220,1485016220
PVG,CKG,OQ2310,1485004200,1485015300,1485005940,1485015360,正常,6840,9420,1485012780,60,1460,1485016760
KWE,CKG,G52606,1485010800,1485014700,1485011280,1485013800,正常,1980,2520,1485013260,900,380,1485015080
TSN,CKG,PN6238,1485006600,1485017100,1485006600,1485015240,正常,7020,8640,1485013620,1860,2420,1485019520
KWE,CKG,G52658,1485011700,1485016200,1485011700,1485014220,正常,1980,2520,1485013680,1980,1460,1485017660
KOW,CKG,MF8419,1485004800,1485012300,1485008760,1485015120,正常,4920,6360,1485013680,2820,440,1485012740
PEK,CKG,SC1156,1485005100,1485015900,1485006900,1485015840,正常,6780,8940,1485013680,60,1100,1485017000
YIW,CKG,G52660,1485005100,1485015600,1485007200,1485016140,正常,6480,8940,1485013680,540,800,1485016400
LXA,CKG,TV9813,1485001500,1485009900,1485007620,1485015540,正常,6240,7920,1485013860,5640,3020,1485012920
TNA,CKG,PN6266,1485007500,1485016500,1485008100,1485016140,正常,6060,8040,1485014160,360,1280,1485017780
